iter	Passed	Remaining
299	1239	2891
300	1242	2885
301	1246	2880
302	1249	2874
303	1253	2869
304	1257	2865
305	1261	2860
306	1264	2855
307	1268	2850
308	1272	2845
309	1276	2840
310	1280	2835
311	1283	2830
312	1287	2825
313	1290	2819
314	1294	2814
315	1297	2809
316	1301	2803
317	1304	2797
318	1307	2792
319	1311	2787
320	1315	2782
321	1319	2778
322	1323	2773
323	1326	2768
324	1330	2763
325	1334	2758
326	1337	2752
327	1341	2747
328	1344	2741
329	1347	2735
330	1350	2729
331	1353	2723
332	1357	2718
333	1360	2712
334	1364	2707
335	1367	2702
336	1370	2696
337	1374	2691
338	1377	2685
339	1380	2680
340	1383	2674
341	1387	2668
342	1390	2663
343	1394	2658
344	1397	2653
345	1400	2647
346	1404	2642
347	1407	2637
348	1410	2631
349	1413	2625
350	1417	2620
351	1420	2614
352	1423	2609
353	1427	2604
354	1430	2598
355	1433	2592
356	1436	2587
357	1439	2581
358	1442	2575
359	1445	2570
360	1449	2565
361	1452	2559
362	1455	2554
363	1458	2548
364	1461	2543
365	1465	2539
366	1468	2533
367	1472	2528
368	1475	2523
369	1479	2518
370	1482	2513
371	1485	2507
372	1488	2502
373	1492	2498
374	1495	2493
375	1499	2488
376	1502	2482
377	1505	2478
378	1509	2472
379	1512	2467
380	1515	2462
381	1519	2458
382	1522	2453
383	1526	2448
384	1529	2442
385	1532	2438
386	1536	2433
387	1539	2428
388	1542	2423
389	1546	2418
390	1550	2414
391	1554	2410
392	1558	2406
393	1561	2402
394	1565	2397
395	1569	2393
396	1573	2389
397	1576	2384
398	1580	2380
399	1583	2375
400	1588	2372
401	1591	2368
402	1595	2364
403	1599	2359
404	1603	2355
405	1607	2351
406	1611	2347
407	1615	2343
408	1619	2339
409	1623	2335
410	1626	2331
411	1630	2326
412	1634	2322
413	1637	2317
414	1641	2314
415	1645	2309
416	1649	2305
417	1653	2301
418	1656	2296
419	1660	2292
420	1663	2287
421	1667	2283
422	1671	2279
423	1674	2275
424	1678	2270
425	1682	2267
426	1686	2263
427	1690	2259
428	1694	2255
429	1698	2251
430	1702	2246
431	1705	2242
432	1709	2238
433	1712	2233
434	1716	2229
435	1720	2225
436	1724	2221
437	1727	2217
438	1731	2212
439	1734	2208
440	1738	2203
441	1742	2199
442	1745	2195
443	1749	2190
444	1752	2186
445	1756	2181
446	1759	2177
447	1763	2172
448	1766	2168
449	1770	2163
450	1773	2158
451	1776	2153
452	1779	2148
453	1782	2143
454	1786	2139
455	1789	2134
456	1792	2129
457	1796	2125
458	1799	2121
459	1802	2116
460	1806	2112
461	1811	2109
462	1814	2104
463	1818	2100
464	1821	2095
465	1824	2091
466	1828	2087
467	1831	2082
468	1835	2077
469	1838	2073
470	1842	2069
471	1845	2064
472	1849	2060
473	1852	2055
474	1856	2051
475	1859	2046
476	1862	2042
477	1866	2038
478	1869	2033
479	1872	2028
480	1876	2024
481	1879	2020
482	1883	2016
483	1886	2011
484	1890	2007
485	1893	2003
486	1897	1998
487	1900	1994
488	1904	1990
489	1907	1985
490	1911	1981
491	1914	1976
492	1917	1972
493	1921	1967
494	1924	1963
495	1928	1959
496	1931	1954
497	1934	1950
498	1937	1945
499	1941	1941
500	1944	1936
501	1948	1932
502	1951	1928
503	1954	1923
504	1958	1919
505	1962	1915
506	1965	1911
507	1969	1907
508	1972	1902
509	1975	1898
510	1978	1893
511	1981	1889
512	1985	1884
513	1988	1880
514	1991	1875
515	1995	1871
516	1999	1867
517	2002	1863
518	2005	1858
519	2008	1854
520	2012	1850
521	2015	1845
522	2019	1841
523	2022	1837
524	2026	1833
525	2029	1829
526	2033	1825
527	2036	1820
528	2040	1816
529	2043	1812
530	2047	1808
531	2050	1803
532	2053	1799
533	2056	1794
534	2060	1790
535	2063	1786
536	2066	1782
537	2070	1777
538	2073	1773
539	2076	1769
540	2080	1764
541	2083	1760
542	2086	1756
543	2089	1751
544	2093	1747
545	2096	1743
546	2099	1738
547	2102	1734
548	2106	1730
549	2109	1725
550	2112	1721
551	2116	1717
552	2119	1713
553	2122	1708
554	2125	1704
555	2129	1700
556	2132	1696
557	2135	1691
558	2139	1687
559	2142	1683
560	2146	1679
561	2149	1675
562	2153	1671
563	2156	1667
564	2159	1663
565	2163	1658
566	2166	1654
567	2169	1649
568	2172	1645
569	2176	1641
570	2179	1637
571	2183	1633
572	2186	1629
573	2189	1624
574	2192	1620
575	2196	1616
576	2199	1612
577	2202	1607
578	2205	1604
579	2209	1600
580	2212	1595
581	2216	1591
582	2219	1587
583	2222	1583
584	2225	1578
585	2228	1574
586	2232	1570
587	2235	1566
588	2239	1562
589	2242	1558
590	2245	1554
591	2248	1549
592	2252	1545
593	2255	1541
594	2258	1537
595	2262	1533
596	2265	1529
597	2268	1525
598	2272	1521
599	2275	1516
600	2278	1512
601	2281	1508
602	2284	1504
603	2288	1500
604	2290	1495
605	2294	1491
606	2297	1487
607	2301	1483
608	2304	1479
609	2308	1475
610	2311	1471
611	2314	1467
612	2317	1463
613	2320	1459
614	2324	1454
615	2327	1450
616	2330	1446
617	2333	1442
618	2337	1438
619	2340	1434
620	2344	1430
621	2348	1427
622	2351	1422
623	2354	1418
624	2357	1414
625	2361	1410
626	2364	1406
627	2367	1402
628	2370	1398
629	2374	1394
630	2377	1390
631	2381	1386
632	2384	1382
633	2387	1378
634	2390	1374
635	2394	1370
636	2397	1366
637	2400	1362
638	2404	1358
639	2407	1354
640	2410	1350
641	2414	1346
642	2417	1342
643	2420	1338
644	2424	1334
645	2427	1330
646	2430	1326
647	2434	1322
648	2437	1318
649	2440	1314
650	2444	1310
651	2447	1306
652	2451	1302
653	2459	1301
654	2467	1299
655	2476	1298
656	2486	1298
657	2493	1296
658	2499	1293
659	2505	1290
660	2511	1288
661	2516	1284
662	2521	1281
663	2525	1278
664	2529	1274
665	2533	1270
666	2537	1266
667	2541	1263
668	2545	1259
669	2548	1255
670	2552	1251
671	2555	1247
672	2558	1243
673	2561	1239
674	2565	1235
675	2568	1231
676	2571	1226
677	2574	1222
678	2577	1218
679	2580	1214
680	2583	1210
681	2587	1206
682	2590	1202
683	2593	1198
684	2596	1193
685	2599	1189
686	2602	1185
687	2606	1182
688	2609	1177
689	2613	1174
690	2616	1169
691	2619	1165
692	2622	1161
693	2625	1157
694	2629	1153
695	2632	1149
696	2635	1145
697	2639	1141
698	2642	1137
699	2645	1133
700	2648	1129
701	2651	1125
702	2655	1121
703	2658	1117
704	2662	1114
705	2666	1110
706	2669	1106
707	2672	1102
708	2675	1098
709	2679	1094
710	2682	1090
711	2685	1086
712	2689	1082
713	2693	1078
714	2696	1074
715	2700	1071
716	2703	1067
717	2708	1063
718	2711	1059
719	2715	1056
720	2718	1052
721	2723	1048
722	2726	1044
723	2730	1041
724	2734	1037
725	2738	1033
726	2742	1029
727	2745	1025
728	2749	1022
729	2753	1018
730	2757	1014
731	2761	1010
732	2764	1006
733	2768	1003
734	2772	999
735	2775	995
736	2779	991
737	2783	988
738	2787	984
739	2791	980
740	2795	976
741	2798	973
742	2802	969
743	2806	965
744	2810	961
745	2814	958
746	2818	954
747	2823	951
748	2827	947
749	2830	943
750	2834	939
751	2838	936
752	2842	932
753	2845	928
754	2849	924
755	2853	920
756	2857	917
757	2860	913
758	2864	909
759	2868	905
760	2872	902
761	2876	898
762	2880	894
763	2884	891
764	2888	887
765	2892	883
766	2896	879
767	2900	876
768	2904	872
769	2907	868
770	2912	865
771	2916	861
772	2920	857
773	2925	854
774	2929	850
775	2933	846
776	2937	843
777	2941	839
778	2946	835
779	2950	832
780	2955	828
781	2959	824
782	2962	821
783	2966	817
784	2970	813
785	2974	809
786	2978	806
787	2982	802
788	2985	798
789	2989	794
790	2993	790
791	2997	787
792	3001	783
793	3005	779
794	3009	775
795	3013	772
796	3017	768
797	3021	764
798	3025	761
799	3029	757
800	3032	753
801	3036	749
802	3039	745
803	3044	742
804	3047	738
805	3051	734
806	3053	730
807	3057	726
808	3061	722
809	3064	718
810	3068	714
811	3071	711
812	3075	707
813	3078	703
814	3082	699
815	3085	695
816	3089	691
817	3093	688
818	3096	684
819	3100	680
820	3103	676
821	3106	672
822	3110	668
823	3113	665
824	3116	661
825	3120	657
826	3123	653
827	3127	649
828	3130	645
829	3134	641
830	3137	638
831	3140	634
832	3143	630
833	3146	626
834	3150	622
835	3153	618
836	3156	614
837	3159	610
838	3163	607
839	3166	603
840	3169	599
841	3173	595
842	3176	591
843	3179	587
844	3182	583
845	3185	579
846	3188	576
847	3191	572
848	3194	568
849	3198	564
850	3201	560
851	3205	556
852	3208	552
853	3211	549
854	3214	545
855	3217	541
856	3221	537
857	3224	533
858	3227	529
859	3230	525
860	3234	522
861	3237	518
862	3240	514
863	3243	510
864	3246	506
865	3249	502
866	3253	499
867	3256	495
868	3259	491
869	3262	487
870	3266	483
871	3269	479
872	3272	476
873	3276	472
874	3279	468
875	3282	464
876	3285	460
877	3289	457
878	3292	453
879	3296	449
880	3299	445
881	3302	441
882	3306	438
883	3309	434
884	3312	430
885	3316	426
886	3319	422
887	3322	419
888	3325	415
889	3328	411
890	3331	407
891	3334	403
892	3338	399
893	3341	396
894	3344	392
895	3348	388
896	3351	384
897	3354	381
898	3358	377
899	3362	373
900	3366	369
901	3370	366
902	3374	362
903	3377	358
904	3381	354
905	3385	351
906	3389	347
907	3393	343
908	3398	340
909	3402	336
910	3405	332
911	3410	329
912	3413	325
913	3418	321
914	3422	317
915	3425	314
916	3429	310
917	3433	306
918	3437	302
919	3441	299
920	3445	295
921	3449	291
922	3453	288
923	3456	284
924	3460	280
925	3464	276
926	3468	273
927	3473	269
928	3478	265
929	3483	262
930	3487	258
931	3491	254
932	3496	251
933	3500	247
934	3504	243
935	3509	239
936	3513	236
937	3517	232
938	3521	228
939	3525	225
940	3529	221
941	3533	217
942	3538	213
943	3542	210
944	3546	206
945	3551	202
946	3555	198
947	3559	195
948	3563	191
949	3567	187
950	3571	184
951	3575	180
952	3580	176
953	3584	172
954	3588	169
955	3592	165
956	3596	161
957	3601	157
958	3605	154
959	3608	150
960	3613	146
961	3616	142
962	3620	139
963	3624	135
964	3628	131
965	3632	127
966	3636	124
967	3640	120
968	3643	116
969	3647	112
970	3651	109
971	3654	105
972	3658	101
973	3661	97
974	3665	93
975	3668	90
976	3671	86
977	3674	82
978	3678	78
979	3681	75
980	3685	71
981	3688	67
982	3692	63
983	3695	60
984	3699	56
985	3702	52
986	3706	48
987	3709	45
988	3713	41
989	3716	37
990	3719	33
991	3723	30
992	3726	26
993	3729	22
994	3732	18
995	3736	15
996	3739	11
997	3742	7
998	3746	3
999	3749	0
