iter	Passed	Remaining
692	9887	4380
693	9898	4364
694	9910	4349
695	9921	4333
696	9933	4318
697	9946	4303
698	9958	4288
699	9970	4272
700	9981	4257
701	9993	4242
702	10004	4226
703	10016	4211
704	10027	4196
705	10039	4180
706	10051	4165
707	10062	4150
708	10074	4135
709	10086	4119
710	10098	4104
711	10109	4089
712	10121	4074
713	10133	4059
714	10145	4043
715	10156	4028
716	10168	4013
717	10180	3998
718	10191	3983
719	10203	3968
720	10215	3953
721	10228	3938
722	10239	3923
723	10251	3907
724	10263	3892
725	10274	3877
726	10286	3862
727	10297	3847
728	10309	3832
729	10321	3817
730	10334	3802
731	10345	3787
732	10357	3772
733	10369	3757
734	10380	3742
735	10392	3727
736	10403	3712
737	10415	3697
738	10426	3682
739	10438	3667
740	10450	3652
741	10463	3638
742	10474	3623
743	10486	3608
744	10497	3593
745	10509	3578
746	10521	3563
747	10533	3548
748	10544	3533
749	10556	3518
750	10569	3504
751	10581	3489
752	10593	3474
753	10604	3459
754	10616	3445
755	10628	3430
756	10640	3415
757	10652	3400
758	10663	3386
759	10675	3371
760	10687	3356
761	10699	3341
762	10711	3327
763	10724	3312
764	10736	3298
765	10748	3283
766	10759	3268
767	10771	3253
768	10783	3239
769	10794	3224
770	10805	3209
771	10817	3194
772	10829	3180
773	10841	3165
774	10854	3151
775	10865	3136
776	10877	3121
777	10889	3107
778	10901	3092
779	10913	3078
780	10924	3063
781	10936	3048
782	10947	3034
783	10959	3019
784	10971	3004
785	10983	2990
786	10994	2975
787	11006	2961
788	11018	2946
789	11031	2932
790	11042	2917
791	11054	2903
792	11065	2888
793	11077	2873
794	11088	2859
795	11100	2844
796	11112	2830
797	11124	2816
798	11136	2801
799	11148	2787
800	11160	2772
801	11172	2758
802	11183	2743
803	11196	2729
804	11207	2714
805	11219	2700
806	11231	2686
807	11242	2671
808	11255	2657
809	11267	2642
810	11278	2628
811	11290	2613
812	11301	2599
813	11313	2585
814	11325	2570
815	11337	2556
816	11349	2542
817	11361	2527
818	11372	2513
819	11384	2499
820	11395	2484
821	11407	2470
822	11419	2455
823	11431	2441
824	11442	2427
825	11454	2412
826	11466	2398
827	11477	2384
828	11489	2369
829	11500	2355
830	11513	2341
831	11525	2327
832	11537	2313
833	11549	2298
834	11560	2284
835	11572	2270
836	11584	2256
837	11596	2241
838	11607	2227
839	11619	2213
840	11631	2198
841	11643	2184
842	11655	2170
843	11666	2156
844	11679	2142
845	11690	2128
846	11701	2113
847	11713	2099
848	11725	2085
849	11736	2071
850	11748	2057
851	11759	2042
852	11771	2028
853	11783	2014
854	11795	2000
855	11806	1986
856	11818	1972
857	11830	1957
858	11841	1943
859	11853	1929
860	11864	1915
861	11876	1901
862	11887	1887
863	11899	1873
864	11912	1859
865	11924	1845
866	11936	1831
867	11948	1817
868	11960	1802
869	11971	1788
870	11984	1774
871	11995	1760
872	12007	1746
873	12018	1732
874	12030	1718
875	12043	1704
876	12054	1690
877	12066	1676
878	12078	1662
879	12090	1648
880	12101	1634
881	12113	1620
882	12124	1606
883	12136	1592
884	12148	1578
885	12160	1564
886	12172	1550
887	12185	1536
888	12197	1522
889	12209	1509
890	12220	1495
891	12233	1481
892	12244	1467
893	12256	1453
894	12267	1439
895	12279	1425
896	12291	1411
897	12305	1397
898	12317	1383
899	12329	1369
900	12340	1355
901	12352	1342
902	12363	1328
903	12375	1314
904	12386	1300
905	12397	1286
906	12409	1272
907	12421	1258
908	12434	1244
909	12446	1230
910	12457	1217
911	12469	1203
912	12480	1189
913	12492	1175
914	12504	1161
915	12515	1147
916	12527	1133
917	12538	1120
918	12550	1106
919	12561	1092
920	12573	1078
921	12584	1064
922	12596	1050
923	12607	1037
924	12619	1023
925	12631	1009
926	12643	995
927	12654	981
928	12666	968
929	12678	954
930	12690	940
931	12703	926
932	12716	913
933	12728	899
934	12739	885
935	12751	871
936	12762	858
937	12774	844
938	12786	830
939	12797	816
940	12809	803
941	12820	789
942	12833	775
943	12845	762
944	12856	748
945	12868	734
946	12879	720
947	12891	707
948	12903	693
949	12914	679
950	12926	666
951	12937	652
952	12949	638
953	12961	624
954	12972	611
955	12984	597
956	12995	583
957	13007	570
958	13019	556
959	13030	542
960	13042	529
961	13054	515
962	13065	502
963	13077	488
964	13090	474
965	13102	461
966	13113	447
967	13124	433
968	13137	420
969	13149	406
970	13161	393
971	13172	379
972	13184	365
973	13196	352
974	13208	338
975	13219	325
976	13232	311
977	13244	297
978	13257	284
979	13268	270
980	13279	257
981	13291	243
982	13303	230
983	13314	216
984	13326	202
985	13338	189
986	13349	175
987	13361	162
988	13373	148
989	13385	135
990	13397	121
991	13408	108
992	13420	94
993	13431	81
994	13443	67
995	13455	54
996	13467	40
997	13478	27
998	13492	13
999	13503	0
